epoch,train mae,train rmse,test mae,test rmse
1,0.0154104,0.0861009,0.0157307,0.0893608
2,0.0104128,0.0700252,0.0113285,0.076006
3,0.00851446,0.0617215,0.00996552,0.0734939
4,0.0070242,0.0583119,0.00892752,0.0724495
5,0.0062111,0.053769,0.00831073,0.0707315
6,0.00489462,0.048741,0.00782111,0.0699593
7,0.00438292,0.0452201,0.00760943,0.0701411
8,0.00360027,0.0400399,0.00701394,0.0692001
9,0.00396206,0.0431454,0.00741205,0.0705923
10,0.00350366,0.0395257,0.00720142,0.0708139
11,0.00322356,0.0374311,0.00699685,0.0699412
12,0.00321117,0.0396216,0.00722594,0.0722037
